Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
보험계약성적표(회사별),,,,,,,,,,,,,,,,,,,,,,,,,,
2024.01.01 ~ 2024.12.31,,보험회사 : 전체,,,,,,,,,,,,,,,,,,,,,,,,"(단위 : 건, 천원)"
구분,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표
구분,연초보유계약,연초보유계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,당월말보유계약,당월말보유계약
구분,연초보유계약,연초보유계약,신계약,신계약,부활,부활,기타증가,기타증가,증가계,증가계,보험사고,보험사고,만기,만기,퇴직,퇴직,미납실효,미납실효,해약,해약,기타감소,기타감소,감소계,감소계,당월말보유계약,당월말보유계약
구분,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액
한      화,"11,479,024","309,525,933,767","1,909,879","25,707,849,706","7,135","272,294,336","703,256","5,222,236,360","2,620,270","31,202,380,402","19,993","494,598,930","473,992","3,521,273,494","12,254","620,957,276","258,754","7,271,646,776","601,395","18,405,004,141","616,939","3,886,973,791","1,983,327","34,200,454,408","12,115,967","306,527,859,761"
삼      성,"18,866,999","614,169,231,780","3,108,424","43,877,210,185","9,208","406,863,719","30,384","8,909,400,543","3,148,016","53,193,474,447","26,137","722,583,023","1,104,635","10,888,681,947","156,666","2,584,859,877","306,393","8,939,654,708","981,141","36,096,736,818","35,647","2,869,682,655","2,610,619","62,102,199,028","19,404,396","605,260,507,199"
흥      국,"2,838,635","65,315,453,034","362,460","2,539,839,301","4,834","114,833,103","32,051","945,159,697","399,345","3,599,832,100","5,309","90,109,278","68,053","1,588,032,387","66,963","15,717,684","80,339","1,366,407,899","135,211","5,304,657,759","39,696","718,734,779","395,571","9,083,659,786","2,842,409","59,831,625,349"
교      보,"9,407,204","307,489,699,829","1,527,883","37,431,628,680","4,448","197,336,932","273,234","4,197,987,974","1,805,565","41,826,953,585","15,636","428,496,426","630,387","10,604,871,013","63,147","1,051,363,963","169,986","6,333,308,928","569,636","19,738,015,138","94,948","3,083,592,853","1,543,740","41,239,648,322","9,669,029","308,077,005,092"
