Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
보험계약성적표(회사별),,,,,,,,,,,,,,,,,,,,,,,,,,
2023.01.01 ~ 2023.12.31,,보험회사 : 전체,,,,,,,,,,,,,,,,,,,,,,,,"(단위 : 천건, 백만원)"
구분,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표
구분,연초보유계약,연초보유계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,당월말보유계약,당월말보유계약
구분,연초보유계약,연초보유계약,신계약,신계약,부활,부활,기타증가,기타증가,증가계,증가계,보험사고,보험사고,만기,만기,퇴직,퇴직,미납실효,미납실효,해약,해약,기타감소,기타감소,감소계,감소계,당월말보유계약,당월말보유계약
구분,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액
한      화,"11,426","309,187,413","1,367","29,361,169",7,"256,934",905,"6,028,743","2,279","35,646,845",17,"427,953",550,"4,435,788",10,"613,753",248,"7,573,064",536,"17,606,308",865,"4,651,457","2,226","35,308,324","11,479","309,525,934"
삼      성,"18,890","628,492,495","2,526","42,387,578",9,"368,051",29,"16,290,281","2,564","59,045,911",25,"715,433","1,142","13,321,729",161,"2,634,914",308,"10,074,260",919,"36,053,002",32,"10,569,837","2,588","73,369,174","18,867","614,169,232"
흥      국,"2,944","71,909,733",277,"2,760,653",3,"83,729",39,"1,220,941",319,"4,065,323",5,"99,077",60,"1,416,159",15,"20,982",75,"1,648,161",226,"6,535,868",43,"939,357",425,"10,659,603","2,839","65,315,453"
교      보,"9,117","301,132,829","4,099","44,575,041",4,"172,700","-2,604","1,767,229","1,499","46,514,969",14,"371,940",450,"9,112,231",51,"1,045,726",167,"6,652,973",475,"19,698,181",51,"3,277,047","1,208","40,158,098","9,407","307,489,700"
푸 본  현 대,"2,090","30,733,480","1,355","6,982,404",1,"19,712",72,"2,562,978","1,428","9,565,095",1,"29,874","1,211","5,209,855",11,"386,256",19,"484,962",57,"4,721,882",70,"479,710","1,370","11,312,539","2,149","28,986,036"
신      한,"6,841","191,007,387",631,"18,045,775",17,"536,139",27,"717,728",675,"19,299,642",7,"164,654",100,"1,225,181",3,"102,375",195,"5,937,216",352,"12,678,799",243,"3,575,959",899,"23,684,183","6,617","186,622,846"
D      G      B,"1,018","19,168,329",280,"3,202,573",1,"30,271",0,"11,861",281,"3,244,705",1,"17,587",607,"3,521,085",69,"388,511",16,"1,040,508",35,"1,409,461",1,"56,514",728,"6,433,666",571,"15,979,368"
K      D      B,"1,727","49,923,399",88,"2,782,160",1,"57,554",6,"235,451",95,"3,075,165",4,"73,825",18,"547,960",0,700,22,"857,615",106,"3,710,963",18,"578,338",168,"5,769,402","1,654","47,229,162"
미 래 에 셋,"3,053","90,119,225",203,"5,914,835",2,"149,151",344,"850,752",549,"6,914,737",4,"113,986",28,"1,116,393",30,"636,798",33,"1,857,669",216,"8,689,823",360,"1,025,330",672,"13,439,998","2,930","83,593,964"
K              B,"1,710","86,475,526",174,"6,640,545",4,"204,540",30,"1,314,131",208,"8,159,216",2,"76,080",34,"325,661",0,"38,478",36,"2,113,742",106,"6,095,885",34,"1,277,332",211,"9,927,178","1,706","84,707,564"
D              B,"1,537","44,926,802",175,"4,080,703",3,"72,817",5,"245,117",183,"4,398,638",2,"50,747",7,"161,208",10,"46,626",40,"1,002,532",92,"3,186,859",12,"482,127",165,"4,930,099","1,555","44,395,340"
동      양,"4,023","90,613,885",514,"7,378,372",7,"144,167",188,"2,100,936",708,"9,623,476",5,"98,040",68,"1,906,662",4,"956,313",98,"1,821,775",394,"6,561,925",44,"880,408",612,"12,225,123","4,119","88,012,238"
하      나,764,"8,126,623",325,"3,030,554",1,"25,959",26,"459,490",352,"3,516,002",0,"6,681",498,"965,922",0,"476,900",6,"77,919",55,"902,909",4,"150,336",563,"2,580,668",552,"9,061,957"
BNP파리바카디프,106,"3,651,113",52,"2,198,595",1,"50,568",0,"5,579",53,"2,254,743",0,"7,628",16,"343,982",0,0,4,"242,770",14,"542,283",20,"348,437",55,"1,485,099",104,"4,420,756"
A      B      L,"2,871","59,443,025",895,"10,784,688",1,"73,399",8,"364,179",905,"11,222,267",4,"82,524","1,291","12,355,600",1,311,34,"1,134,591",109,"3,924,519",77,"1,068,874","1,516","18,566,420","2,260","52,098,871"
메트라이프,"1,578","70,504,449",133,"5,963,222",3,"152,627",29,"1,821,284",165,"7,937,133",2,"65,960",9,"281,891",0,20,41,"2,168,077",92,"4,749,542",28,"2,132,824",172,"9,398,314","1,570","69,043,268"
처브라이프,141,"4,638,523",6,"142,222",0,"2,187",3,"90,010",9,"234,419",0,"7,620",1,"23,370",0,0,8,"270,682",8,"270,940",0,"24,828",18,"597,440",131,"4,275,502"
라    이    나,"6,533","126,846,452",989,"12,517,551",36,"683,245",0,"7,668","1,025","13,208,463",24,"286,084",82,"1,186,949",0,0,310,"5,436,273",480,"8,130,640",39,"664,033",934,"15,703,979","6,624","124,350,937"
A      I      A,"4,121","108,314,824",394,"18,863,970",24,"833,972",70,"2,079,062",488,"21,777,005",12,"196,800",62,"3,916,263",0,0,192,"6,814,376",159,"5,329,496",101,"2,951,488",525,"19,208,423","4,084","110,883,406"
I      B      K,434,"13,608,538",25,"1,290,749",1,"22,791",19,"928,861",44,"2,242,401",0,"11,234",0,29,22,"217,395",2,"80,858",28,"1,921,678",37,"126,207",89,"2,357,401",389,"13,493,538"
농      협,"4,912","109,976,684","1,133","14,130,774",4,"96,580",13,"449,523","1,150","14,676,877",16,"323,346",906,"10,349,494",0,0,34,"1,003,399",355,"8,299,441",12,"290,716","1,324","20,266,395","4,738","104,387,166"
교보라이프플래닛,179,"5,807,858",18,"911,672",0,"13,161",0,"54,722",18,"979,556",0,"2,364",46,"362,722",0,0,2,"106,643",7,"269,130",0,"59,532",56,"800,390",141,"5,987,023"
